src_uid,dst_uid,relation_type,relative_revenue,relative_revenue_percentage,depth,direction
a6552c54-688d-59bb-a564-5a3bd33bfa76,0727c9f6-a50b-5fd5-b495-58be4894069d,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,19f1c551-d50b-5d80-b7ac-b74f597bb831,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,1a5fabf9-8af6-5992-8017-0b8a8e514e4c,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,42df3e5e-75cd-52d2-a281-9d71a11dfcd2,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,44ca9034-7354-5d0b-9e65-64e8200eb4a9,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,51f8b3bc-cb26-5807-a827-eebcffcc62bd,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,629885ed-0829-5b85-a423-470b40725aa6,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,5b2818cf-0015-5e04-b84e-6707ca8df6cf,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,7434209a-5181-52e4-b5f4-15b3d072d9a9,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,996ecbdc-61e4-536d-94f3-b5f9ca32407e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,9ea95f73-a223-5b4a-b9b8-637b2f5c922e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,b9b1fd21-4891-5710-8c5f-c17ac164850e,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,afb6c7b8-15a8-5bfa-88bd-9f8fad610a65,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c52b8073-c4d4-5d6f-95ca-f662fca50228,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,c81dacc2-2f02-5c7d-bc58-60259240b1a0,Supplier,251.0,8.4,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,dcf03705-390b-5138-84b6-b24a5b866eac,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,f8e14ab8-75c3-5d82-af72-9756552d622a,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,fd1d34f5-e102-5ac6-80a8-a9d903183819,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,0eaf94bf-2414-5be0-95b9-93416848014d,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,31736e2f-175c-52b1-b6eb-c8105c2f96d0,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,34937a45-b3d7-5513-9767-4f399d14d89d,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,4e6660a7-b76b-5387-9fe8-31274b43419a,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,67eb24ce-8969-5161-a5d4-70e544ecd218,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,79f9ca12-38c5-57ca-b5e8-503f42855246,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,7cfa6ed1-bf0b-537d-9a35-4d9f0bfdccef,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,7eb40861-55f5-5f65-acbd-1c40c25db58f,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,908f5d8a-88b4-5f19-b908-69b35edff52f,Supplier,,,1,suppliers
a6552c54-688d-59bb-a564-5a3bd33bfa76,b707e6d7-651b-51d1-88ce-a73de7f3ddea,Supplier,,,1,suppliers
